DifficultyDate,SubmissionDate,ReceivingRegionCode,ReceivingDistrictOffice,JASCCode,AircraftMake,AircraftModel,AircraftTotalTime,AircraftTotalCycles,PartName,PartCondition,PartLocation,Discrepancy,Year,Month
2021-04-19,2021-04-26 13:37:00,EA,15.0,2121.0,BOEING,767324,101108.0,19495.0,FAN,FAILED,AFT GALLEY,"AFT GALLEY EXHAUST FAN # 2 EXTREMELY NOISY. PULLED BREAKER P 10 ON P11 PANEL, PLACARD INSTALLED. REMOVED AND REPLACED AFT GALLEY FAN NR 2 ASSY IAW AMM 21-26-01. OPS CHECKED GOOD.",2021.0,4.0
2021-04-15,2021-04-19 13:17:00,SW,29.0,2560.0,BOEING,7377H4,49372.0,29657.0,HANDLE,BROKEN,PILOT SEAT ASSIS,CAPTAIN'S 'ASSIST HANDLE' BROKEN / REMOVED AND REPLACED PILOT SEAT ASSIST HANDLE PER 56-11-11.,2021.0,4.0
2021-04-16,2021-04-19 13:59:00,EA,15.0,3150.0,BOEING,7673JHF,21467.0,5030.0,STATUS MESSAGE,FALSE ACTIVATION,,"STATUS MSG ""CARGO A/C CONT""(",2021.0,4.0
2021-08-03,2021-08-06 13:18:00,EA,15.0,2432.0,BOEING,767316,91505.0,20153.0,BATTERY,FAILED,APU,AIRBORNE AUXILIARY POWER GTCP831-200ER APU SYSTEM CHECK DURING APU START SEQUENCE APU BATTERY VOLTAGE FELT TO 16 VDC .(,2021.0,8.0
2021-07-14,2021-07-16 12:34:00,SW,23.0,3414.0,BOEING,737823,27322.0,11359.0,SENSOR,UNSERVICEABLE,ZONE 200 - FUSE,AIRCRAFT WAS GROUNDED: INDICATED AIRSPEED DISAGREE ALERT CAME ON BOTH PRIMARY FLIGHT DISPLAYS ON THE CLIMB FL 190 FOR 1 MINUTE. CAPTAIN AND STANDBY WERE CORRECT. FIRST OFFICER'S WAS 10-15 KNOTS FAST. REPLACED FIRST OFFICER PITOT (AALA202107155111) IAW AMM 34-11-01 AND FIRST OFFICER ANGLE OF ATTACK SENSOR (AALA202107162945) IAW AMM 34-21-05.,2021.0,7.0
2021-08-04,2021-08-06 14:05:00,EA,15.0,4940.0,BOEING,76731K,,,CHARGER,INOPERATIVE,APU BATTERY,AFTER LANDING APU WOULD NOT START AFTER 3 ATTEMPTS(,2021.0,8.0
2021-08-03,2021-08-06 14:30:00,EA,15.0,5320.0,BOEING,74747UF,88819.0,16665.0,DOOR SILL,CRACKED,BS 460,CRACK - FOUND CRACK DAMAGE ON THE OUTER CHORD AT STA 460 1L MAIN ENTERY DOOR UPPER SILL(,2021.0,8.0
2021-05-12,2021-06-14 10:57:00,SW,29.0,5320.0,BOEING,7377H4,52415.0,31247.0,WEB,CORRODED,AFT CARGO,"CORROSION ON WEB AT AFT CARGO BAY BS795 RBL18 WL158. ; / VERIFIED LOCATED AND DRILL NEW STRAP P/N 146A8128-18; LOT 1457029 IAW SRM 51-40-05 AND DWG 146A8340; THE INSTALLATION OF THIS STRAP WILL BE ACCOMPLISHED ON JOB CARD TTG8Q0050WUL; INSPECTION COMPLETE. 1. YOVANY RODRIGUEZ (TECHNICIAN), 22-MAY-2021 14:07 UTC VERIFIED APPLICABILITY FOR ALLOWABLE DAMAGE LIMIT ON STRAP AT AFT CARGO BAY BS795 RBL18 WL158 IAW SRM 53-60-15-1A -1 AND IDENTIFICATION 53-60-15-0I-1 REMOVED CORROSION ON STRAP IAW SRM 51-10-02 AND WAS FOUND OUT OF LIMIT DUE MATERIAL LOSS EXCEED 10% OF THICKNESS IAW SRM 53-60-15-1A -1 2. YOVANY RODRIGUEZ (TECHNICIAN), 22-MAY-2021 17:04 UTC LOCATED AND DRILL NEW STRAP P/N 146A8128-18, LOT 1457029 IAW SRM 51-40-05 AND DWG 146A8340. INSTALLATION WILL BE ACCOMPLISHED ON NO ROUTINE CARD TTG8Q0050WUL",2021.0,6.0
2021-05-08,2021-05-10 17:10:00,NM,2.0,2310.0,BOEING,737890,38703.0,11282.0,TRANSCEIVER,FAILED,NR 2 HF COMMS,"WHEN SELECTING HF 2, ""FAIL"" INDICATION DISPLAYED IN BOTH ACTIVE AND STANDBY DISPLAYS. GROUNDED - YES. REMOVED AND REPLACED HF TRANSCEIVER AND OPS CHECKS GOOD IAW B737-800 AMM 23-24-00-400-801.",2021.0,5.0
2021-05-07,2021-05-10 17:10:00,NM,2.0,2913.0,BOEING,737990ER,30176.0,9730.0,SOLENOID VALVE,LOOSE,HYD PUMP,#2 EDP DEPRESSURIZATION SOLENOID VALVE IS LOOSE. GROUNDED - YES. TIGHTENED AND SAFTIED #2 EDP DEP SOL VALVE REF B737-900 AMM 29-11-11. PERFORMED OPS CHECK OF #2 EDP SOL DEP VALVE REF AMM 29-11-11-710-801. OPS CHECK GOOD.,2021.0,5.0
